Age of House (in Years) (bin),Condition of the house,Living area after renovation 2,Renovation Age Group,Renovation Status,Sale Price (bin),Years Since Renovation (bin),Zipcode Group,Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Condition of the House Excellent,Condition of the House Fair,Condition of the House Good,Condition of the House Okay,Count of Sales Price,Ever Renovated Yes,Flat Area (in Sqft),Latitude,Living Area after Renovation (in Sqft),Longitude,Lot Area (in Sqft),Lot Area after Renovation (in Sqft),No of Bathrooms,No of Bedrooms,No of Floors,No of Times Visited,Number of records,Overall Grade,Sale Price,Total Records,Waterfront View Yes,Years Since Renovation
50,Excellent,Medium,0,Recently Renovated,450000,0,00000,55,1400,0,0,1,0,0,1,0,1400,47.7413,2200,-122.259,13775,10450,1.75,3,1,0,1,8,450000,1,0,0
50,Excellent,Small,0,Recently Renovated,432500,0,00000,55,1470,0,0,1,0,0,1,0,1470,47.6687,1470,-122.154,7350,7350,1.75,3,1,0,1,8,432500,1,0,0
50,Excellent,Medium,0,Recently Renovated,375000,0,00000,55,1590,0,0,1,0,0,1,0,1590,47.5902,2040,-122.147,14766,10190,1.75,3,1,0,1,8,375000,1,0,0
50,Excellent,Small,0,Recently Renovated,667000,0,00000,55,1300,470,0,1,0,0,1,0,1770,47.6846,1430,-122.392,3880,3880,1.75,3,1,0,1,8,667000,1,0,0
50,Excellent,Medium,0,Recently Renovated,298000,0,00000,56,1340,280,0,1,0,0,1,0,1620,47.3321,2076,-122.323,12825,11200,1.75,3,1,0,1,8,298000,1,0,0
50,Excellent,Medium,0,Recently Renovated,375000,0,00000,56,1440,660,0,1,0,0,1,0,2100,47.4294,2000,-122.292,9066,9132,1.75,3,1,0,1,8,375000,1,0,0
50,Excellent,Medium,0,Recently Renovated,265000,0,00000,56,1270,930,0,1,0,0,1,0,2200,47.3745,1800,-122.276,7200,8000,1.75,3,1,0,1,8,265000,1,0,0
50,Excellent,Small,0,Recently Renovated,400000,0,00000,57,1730,0,0,1,0,0,1,0,1730,47.7149,1440,-122.322,9211,9211,1.75,3,1,0,1,8,400000,1,0,0
50,Excellent,Medium,0,Recently Renovated,787000,0,00000,57,1330,0,0,1,0,0,1,0,1330,47.6074,1690,-122.195,7500,7800,1.75,3,1,0,1,8,787000,1,0,0
50,Excellent,Medium,0,Recently Renovated,500000,0,00000,57,1560,0,0,1,0,0,1,0,1560,47.5966,2430,-122.175,16194,16193,1.75,3,1,0,1,8,500000,1,0,0
50,Excellent,Medium,0,Recently Renovated,506000,0,00000,57,1480,700,0,1,0,0,1,0,2180,47.7594,2180,-122.361,7700,7604,1.75,3,1,0,1,8,506000,1,0,0
50,Excellent,Medium,0,Recently Renovated,480000,0,00000,57,1850,1070,0,1,0,0,1,0,2920,47.7666,1540,-122.265,21375,8482,1.75,3,1,0,1,8,480000,1,0,0
50,Excellent,Medium,0,Recently Renovated,813000,0,00000,58,2080,0,0,1,0,0,1,0,2080,47.5872,2240,-122.173,11866,10696,1.75,3,1,0,1,8,813000,1,0,0
50,Excellent,Medium,0,Recently Renovated,781000,0,00000,58,1460,480,0,1,0,0,1,0,1940,47.7027,2250,-122.282,8729,9165,1.75,3,1,0,1,8,781000,1,0,0
50,Excellent,Medium,0,Recently Renovated,215000,0,00000,59,1770,0,0,1,0,0,1,0,1770,47.3204,2300,-122.364,29004,24534,1.75,3,1,0,1,8,215000,1,0,0
50,Excellent,Medium,0,Recently Renovated,685000,0,00000,59,1470,180,0,1,0,0,1,0,1650,47.5766,2020,-122.236,8400,7777,1.75,3,1,0,1,8,685000,1,0,0
60,Excellent,Medium,0,Recently Renovated,795000,0,00000,60,1930,0,0,1,0,0,1,0,1930,47.5747,2350,-122.237,9600,9840,1.75,3,1,0,1,8,795000,1,0,0
60,Excellent,Medium,0,Recently Renovated,625000,0,00000,60,1390,820,0,1,0,0,1,0,2210,47.5924,2050,-122.175,16200,16200,1.75,3,1,0,1,8,625000,1,0,0
60,Excellent,Small,0,Recently Renovated,285000,0,00000,60,1580,1300,0,1,0,0,1,0,2880,47.4881,1380,-122.281,18296,9592,1.75,3,1,0,1,8,285000,1,0,0
60,Excellent,Medium,0,Recently Renovated,575000,0,00000,61,1760,0,0,1,0,0,1,0,1760,47.6347,1970,-122.173,10349,10933,1.75,3,1,0,1,8,575000,1,0,0
60,Excellent,Medium,0,Recently Renovated,765000,0,00000,61,1480,710,0,1,0,0,1,0,2190,47.5284,2190,-122.391,6450,6450,1.75,3,1,0,1,8,765000,1,0,0
60,Excellent,Small,0,Recently Renovated,429000,0,00000,61,1260,1260,0,1,0,0,1,0,2520,47.5339,1360,-122.372,5043,4920,1.75,3,1,0,1,8,429000,1,0,0
60,Excellent,Medium,0,Recently Renovated,677500,0,00000,62,2020,0,0,1,0,0,1,0,2020,47.574,2370,-122.21,9718,8604,1.75,3,1,0,1,8,677500,1,0,0
60,Excellent,Medium,0,Recently Renovated,560000,0,00000,62,1130,800,0,1,0,0,1,0,1930,47.6516,1870,-122.375,6000,6000,1.75,3,1,0,1,8,560000,1,0,0
60,Excellent,Large,0,Recently Renovated,515000,0,00000,63,1600,0,0,1,0,0,1,0,1600,47.5632,2640,-122.182,20873,18364,1.75,3,1,0,1,8,515000,1,0,0
60,Excellent,Medium,0,Recently Renovated,396500,0,00000,63,1350,1040,0,1,0,0,1,0,2390,47.7244,1710,-122.326,7149,7402,1.75,3,1,0,1,8,396500,1,0,0
60,Excellent,Medium,0,Recently Renovated,314000,0,00000,65,1100,250,0,1,0,0,1,0,1350,47.2628,2190,-122.03,217852,217800,1.75,3,1,0,1,8,314000,1,0,0
60,Excellent,Medium,0,Recently Renovated,447500,0,00000,65,1530,420,0,1,0,0,1,0,1950,47.6934,1660,-122.328,6504,6552,1.75,3,1,0,1,8,447500,1,0,0
60,Excellent,Medium,0,Recently Renovated,670000,0,00000,66,1850,0,0,1,0,0,1,0,1850,47.7241,1600,-122.363,8160,8160,1.75,3,1,0,1,8,670000,1,0,0
60,Excellent,Medium,0,Recently Renovated,509000,0,00000,67,1350,450,0,1,0,0,1,0,1800,47.7165,1770,-122.361,7620,7620,1.75,3,1,0,1,8,509007,1,0,0
60,Excellent,Medium,0,Recently Renovated,860000,0,00000,67,1310,550,0,1,0,0,1,0,1860,47.637,1630,-122.4,5584,6022,1.75,3,1,0,1,8,860000,1,0,0
70,Excellent,Medium,0,Recently Renovated,827200,0,00000,70,1500,240,0,1,0,0,1,0,1740,47.6475,2240,-122.409,8560,5800,1.75,3,1,0,1,8,827235,1,0,0
70,Excellent,Medium,0,Recently Renovated,750000,0,00000,71,1460,240,0,1,0,0,1,0,1700,47.6534,2010,-122.415,8400,7000,1.75,3,1,0,1,8,750000,1,0,0
0,Excellent,Medium,0,Recently Renovated,348000,0,00000,7,2360,0,0,1,0,0,1,0,2360,47.3564,2304,-122.198,6145,5880,2,3,1,0,1,8,348000,1,0,0
0,Excellent,Medium,0,Recently Renovated,399000,0,00000,8,2100,0,0,1,0,0,1,0,2100,47.6907,1860,-121.917,31550,18452,2,3,1,0,1,8,399000,1,0,0
0,Excellent,Medium,0,Recently Renovated,580000,0,00000,9,1870,0,0,1,0,0,1,0,1870,47.7106,1870,-122.02,5300,5050,2,3,1,0,1,8,580000,1,0,0
10,Excellent,Medium,0,Recently Renovated,420250,0,00000,11,1510,0,0,1,0,0,1,0,1510,47.7225,1510,-122.029,3657,3657,2,3,1,0,1,8,420250,1,0,0
10,Excellent,Small,0,Recently Renovated,413800,0,00000,11,1440,0,0,1,0,0,1,0,1440,47.7188,1440,-122.024,4421,4157,2,3,1,0,1,8,413800,1,0,0
10,Excellent,Medium,0,Recently Renovated,525000,0,00000,14,1540,0,0,1,0,0,1,0,1540,47.7041,1510,-122.288,7800,7800,2,3,1,0,1,8,525000,1,0,0
10,Excellent,Medium,0,Recently Renovated,299000,0,00000,14,1730,0,0,1,0,0,1,0,1730,47.3573,2000,-122.2,6007,6245,2,3,1,0,1,8,299000,1,0,0
10,Excellent,Large,0,Recently Renovated,383150,0,00000,15,2210,0,0,1,0,0,1,0,2210,47.265,2570,-122.302,6387,6497,2,3,1,0,1,8,383150,1,0,0
10,Excellent,Small,0,Recently Renovated,391250,0,00000,16,1440,0,0,1,0,0,1,0,1440,47.7022,1350,-122.021,3900,3900,2,3,1,0,1,8,391265,1,0,0
10,Excellent,Small,0,Recently Renovated,342500,0,00000,16,2080,0,0,1,0,0,1,0,2080,47.214,1080,-121.993,11375,12899,2,3,1,0,1,8,342500,1,0,0
10,Excellent,Medium,0,Recently Renovated,340000,0,00000,17,1570,0,0,1,0,0,1,0,1570,47.6965,1640,-121.922,14992,15000,2,3,1,0,1,8,340000,1,0,0
20,Excellent,Medium,0,Recently Renovated,337000,0,00000,21,1690,0,0,1,0,0,1,0,1690,47.3724,2090,-122.108,9087,8100,2,3,1,0,1,8,337000,1,0,0
20,Excellent,Medium,0,Recently Renovated,413000,0,00000,22,1520,0,0,1,0,0,1,0,1520,47.7753,1800,-122.375,3451,3451,2,3,1,0,1,8,413000,1,0,0
20,Excellent,Medium,0,Recently Renovated,315000,0,00000,23,1900,0,0,1,0,0,1,0,1900,47.2843,1790,-122.357,9513,8028,2,3,1,0,1,8,315000,1,0,0
20,Excellent,Medium,0,Recently Renovated,313100,0,00000,24,1730,0,0,1,0,0,1,0,1730,47.353,1980,-122.272,12821,11336,2,3,1,0,1,8,313100,1,0,0
20,Excellent,Large,0,Recently Renovated,330000,0,00000,24,2500,0,0,1,0,0,1,0,2500,47.1927,2560,-122.01,10697,9772,2,3,1,0,1,8,330000,1,0,0
20,Excellent,Medium,0,Recently Renovated,241000,0,00000,25,1520,0,0,1,0,0,1,0,1520,47.3061,1890,-122.361,7131,7379,2,3,1,0,1,8,241000,1,0,0
20,Excellent,Medium,0,Recently Renovated,270000,0,00000,26,1820,0,0,1,0,0,1,0,1820,47.3169,2080,-122.352,7750,8084,2,3,1,0,1,8,270000,1,0,0
20,Excellent,Medium,0,Recently Renovated,342000,0,00000,26,2250,0,0,1,0,0,1,0,2250,47.2684,1970,-122.308,7757,6866,2,3,1,0,1,8,342000,1,0,0
20,Excellent,Medium,0,Recently Renovated,289950,0,00000,26,1670,0,0,1,0,0,1,0,1670,47.3802,2290,-122.207,7757,7859,2,3,1,0,1,8,289950,1,0,0
20,Excellent,Medium,0,Recently Renovated,352500,0,00000,26,1920,0,0,1,0,0,1,0,1920,47.4983,2080,-122.167,33630,7505,2,3,1,0,1,8,352500,1,0,0
20,Excellent,Medium,0,Recently Renovated,406500,0,00000,26,1780,0,0,1,0,0,1,0,1780,47.5062,2470,-122.149,8621,8542,2,3,1,0,1,8,406500,1,0,0
20,Excellent,Medium,0,Recently Renovated,297950,0,00000,28,1390,0,0,1,0,0,1,0,1390,47.4504,1960,-122.206,5127,5019,2,3,1,0,1,8,297950,1,0,0
20,Excellent,Medium,0,Recently Renovated,225000,0,00000,28,1610,0,0,1,0,0,1,0,1610,47.1958,1930,-122.009,8400,8459,2,3,1,0,1,8,225000,1,0,0
20,Excellent,Medium,0,Recently Renovated,305000,0,00000,29,1830,0,0,1,0,0,1,0,1830,47.3066,2490,-122.394,10873,8976,2,3,1,0,1,8,305000,1,0,0
30,Excellent,Large,0,Recently Renovated,626000,0,00000,30,2150,0,0,1,0,0,1,0,2150,47.5709,2510,-122.018,7200,7222,2,3,1,0,1,8,626000,1,0,0
30,Excellent,Medium,0,Recently Renovated,424000,0,00000,30,1330,0,0,1,0,0,1,0,1330,47.5745,1900,-122.017,5632,4842,2,3,1,0,1,8,424000,1,0,0
30,Excellent,Medium,0,Recently Renovated,350000,0,00000,30,1440,0,0,1,0,0,1,0,1440,47.5753,1980,-122.017,5469,6198,2,3,1,0,1,8,350000,1,0,0
30,Excellent,Medium,0,Recently Renovated,500000,0,00000,31,2050,0,0,1,0,0,1,0,2050,47.6389,1980,-122.11,11454,11424,2,3,1,0,1,8,500000,1,0,0
30,Excellent,Medium,0,Recently Renovated,599000,0,00000,31,1330,1230,0,1,0,0,1,0,2560,47.648,2390,-122.118,14680,13848,2,3,1,0,1,8,599000,1,0,0
30,Excellent,Medium,0,Recently Renovated,560000,0,00000,33,1860,0,0,1,0,0,1,0,1860,47.5397,1960,-122.054,13374,9797,2,3,1,0,1,8,560000,1,0,0
30,Excellent,Medium,0,Recently Renovated,539000,0,00000,33,1780,480,0,1,0,0,1,0,2260,47.6457,2250,-122.058,9568,9744,2,3,1,0,1,8,539000,1,0,0
30,Excellent,Medium,0,Recently Renovated,390000,0,00000,36,1010,0,0,1,0,0,1,0,1010,47.6232,1750,-122.043,14183,11700,2,3,1,0,1,8,390000,1,0,0
30,Excellent,Medium,0,Recently Renovated,310000,0,00000,36,1220,850,0,1,0,0,1,0,2070,47.6491,2080,-122.061,9195,9551,2,3,1,0,1,8,310000,1,0,0
30,Excellent,Medium,0,Recently Renovated,539000,0,00000,36,1220,850,0,1,0,0,1,0,2070,47.6491,2080,-122.061,9195,9551,2,3,1,0,1,8,539000,1,0,0
30,Excellent,Medium,0,Recently Renovated,525000,0,00000,37,1640,0,0,1,0,0,1,0,1640,47.6301,1640,-122.037,15258,16345,2,3,1,0,1,8,525000,1,0,0
30,Excellent,Large,0,Recently Renovated,589000,0,00000,37,2360,0,0,1,0,0,1,0,2360,47.5595,2660,-121.867,118483,91476,2,3,1,0,1,8,589000,1,0,0
30,Excellent,Medium,0,Recently Renovated,490000,0,00000,37,1220,850,0,1,0,0,1,0,2070,47.6492,2130,-122.062,10023,9694,2,3,1,0,1,8,490000,1,0,0
30,Excellent,Medium,0,Recently Renovated,400000,0,00000,38,1010,0,0,1,0,0,1,0,1010,47.6224,1840,-122.045,12252,11497,2,3,1,0,1,8,400000,1,0,0
30,Excellent,Medium,0,Recently Renovated,354000,0,00000,38,1010,0,0,1,0,0,1,0,1010,47.6223,1700,-122.043,21340,13045,2,3,1,0,1,8,354000,1,0,0
30,Excellent,Medium,0,Recently Renovated,685000,0,00000,39,1770,730,0,1,0,0,1,0,2500,47.6691,1770,-122.36,6733,6343,2,3,1,0,1,8,685000,1,0,0
40,Excellent,Medium,0,Recently Renovated,430000,0,00000,40,1370,360,0,1,0,0,1,0,1730,47.5202,2390,-122.047,9000,10000,2,3,1,0,1,8,430000,1,0,0
40,Excellent,Medium,0,Recently Renovated,423500,0,00000,40,1430,570,0,1,0,0,1,0,2000,47.6976,1530,-122.166,10490,7659,2,3,1,0,1,8,423500,1,0,0
40,Excellent,Medium,0,Recently Renovated,418500,0,00000,40,1220,580,0,1,0,0,1,0,1800,47.6254,2460,-122.05,12440,12352,2,3,1,0,1,8,418500,1,0,0
40,Excellent,Medium,0,Recently Renovated,545000,0,00000,45,1500,400,0,1,0,0,1,0,1900,47.5307,2140,-122.054,9975,9825,2,3,1,0,1,8,545000,1,0,0
40,Excellent,Medium,0,Recently Renovated,315000,0,00000,47,1660,0,0,1,0,0,1,0,1660,47.4897,1660,-121.787,11135,11560,2,3,1,0,1,8,315000,1,0,0
40,Excellent,Small,0,Recently Renovated,465000,0,00000,49,790,770,0,1,0,0,1,0,1560,47.7261,1410,-122.22,8509,7428,2,3,1,0,1,8,465000,1,0,0
50,Excellent,Medium,0,Recently Renovated,555000,0,00000,50,2240,0,0,1,0,0,1,0,2240,47.6371,2200,-122.119,11250,12500,2,3,1,0,1,8,555000,1,0,0
50,Excellent,Medium,0,Recently Renovated,375000,0,00000,50,1670,0,0,1,0,0,1,0,1670,47.4873,2130,-121.783,13775,14500,2,3,1,0,1,8,375000,1,0,0
50,Excellent,Medium,0,Recently Renovated,237000,0,00000,50,1260,450,0,1,0,0,1,0,1710,47.3473,1760,-122.305,7920,8120,2,3,1,0,1,8,237000,1,0,0
50,Excellent,Medium,0,Recently Renovated,710000,0,00000,51,1780,0,0,1,0,0,1,0,1780,47.5796,1900,-122.229,9732,10200,2,3,1,0,1,8,710000,1,0,0
50,Excellent,Medium,0,Recently Renovated,570000,0,00000,54,1260,670,0,1,0,0,1,0,1930,47.7657,2030,-122.272,10929,8750,2,3,1,0,1,8,570000,1,0,0
50,Excellent,Medium,0,Recently Renovated,400000,0,00000,56,1500,1500,0,1,0,0,1,0,3000,47.7058,2400,-122.315,17800,8300,2,3,1,0,1,8,400000,1,0,0
60,Excellent,Medium,0,Recently Renovated,360000,0,00000,60,1260,670,0,1,0,0,1,0,1930,47.7675,1900,-122.307,15540,12123,2,3,1,0,1,8,360000,1,0,0
60,Excellent,Medium,0,Recently Renovated,650000,0,00000,61,1790,730,0,1,0,0,1,0,2520,47.5767,1590,-122.383,5980,5750,2,3,1,0,1,8,650000,1,0,0
60,Excellent,Medium,0,Recently Renovated,412450,0,00000,63,1910,0,0,1,0,0,1,0,1910,47.7114,2010,-122.23,13505,8000,2,3,1,0,1,8,412450,1,0,0
60,Excellent,Medium,0,Recently Renovated,610000,0,00000,63,1430,870,0,1,0,0,1,0,2300,47.6075,2140,-122.2,13418,9380,2,3,1,0,1,8,610000,1,0,0
60,Excellent,Small,0,Recently Renovated,310000,0,00000,65,2010,0,0,1,0,0,1,0,2010,47.7222,1490,-122.229,12950,10181,2,3,1,0,1,8,310000,1,0,0
60,Excellent,Medium,0,Recently Renovated,987000,0,00000,67,2160,0,0,1,0,0,1,0,2160,47.6227,2260,-122.207,15788,9787,2,3,1,0,1,8,987000,1,0,0
60,Excellent,Medium,0,Recently Renovated,1129550,0,00000,67,2160,0,0,1,0,0,1,0,2160,47.6227,2260,-122.207,15788,9787,2,3,1,0,1,8,1129575,1,0,0
60,Excellent,Medium,0,Recently Renovated,475000,0,00000,67,1180,700,0,1,0,0,1,0,1880,47.7497,1780,-122.284,9659,9659,2,3,1,0,1,8,475000,1,0,0
60,Excellent,Medium,0,Recently Renovated,575000,0,00000,67,1080,1070,0,1,0,0,1,0,2150,47.6814,2130,-122.392,3880,4000,2,3,1,0,1,8,575000,1,0,0
70,Excellent,Medium,0,Recently Renovated,405000,0,00000,70,1640,0,0,1,0,0,1,0,1640,47.7216,1750,-122.289,7201,7201,2,3,1,0,1,8,405000,1,0,0
0,Excellent,Small,0,Recently Renovated,338900,0,00000,5,1936,0,0,1,0,0,1,0,1936,47.3714,1410,-122.197,9495,12770,2.25,3,1,0,1,8,338900,1,0,0
20,Excellent,Small,0,Recently Renovated,340000,0,00000,21,2120,0,0,1,0,0,1,0,2120,47.296,1400,-122.219,13090,12039,2.25,3,1,0,1,8,340000,1,0,0
20,Excellent,Large,0,Recently Renovated,620000,0,00000,28,2190,0,0,1,0,0,1,0,2190,47.7108,2970,-122.12,45738,4496,2.25,3,1,0,1,8,620000,1,0,0
20,Excellent,Medium,0,Recently Renovated,583000,0,00000,29,1350,480,0,1,0,0,1,0,1830,47.6336,1920,-122.025,8276,8276,2.25,3,1,0,1,8,583000,1,0,0
30,Excellent,Large,0,Recently Renovated,613000,0,00000,30,1960,0,0,1,0,0,1,0,1960,47.5736,2800,-122.109,10385,12632,2.25,3,1,0,1,8,613000,1,0,0
30,Excellent,Small,0,Recently Renovated,500000,0,00000,30,1180,260,0,1,0,0,1,0,1440,47.6225,1440,-122.038,15661,13963,2.25,3,1,0,1,8,500000,1,0,0
30,Excellent,Medium,0,Recently Renovated,485000,0,00000,30,1180,390,0,1,0,0,1,0,1570,47.6176,1620,-122.044,6810,6584,2.25,3,1,0,1,8,485000,1,0,0
30,Excellent,Medium,0,Recently Renovated,580000,0,00000,31,1320,320,0,1,0,0,1,0,1640,47.6772,1770,-122.153,8625,9476,2.25,3,1,0,1,8,580000,1,0,0
30,Excellent,Medium,0,Recently Renovated,316000,0,00000,31,1570,560,0,1,0,0,1,0,2130,47.4202,2130,-122.204,8721,9477,2.25,3,1,0,1,8,316000,1,0,0
30,Excellent,Medium,0,Recently Renovated,225000,0,00000,32,1290,360,0,1,0,0,1,0,1650,47.3532,1650,-122.304,7739,6033,2.25,3,1,0,1,8,225000,1,0,0
30,Excellent,Medium,0,Recently Renovated,450000,0,00000,33,1450,330,0,1,0,0,1,0,1780,47.7286,1950,-122.168,9969,7974,2.25,3,1,0,1,8,450000,1,0,0
30,Excellent,Medium,0,Recently Renovated,500000,0,00000,33,1340,360,0,1,0,0,1,0,1700,47.7161,2340,-122.317,9008,8003,2.25,3,1,0,1,8,500000,1,0,0
30,Excellent,Medium,0,Recently Renovated,520000,0,00000,33,1370,480,0,1,0,0,1,0,1850,47.5696,1850,-122.02,10855,8209,2.25,3,1,0,1,8,520000,1,0,0
30,Excellent,Medium,0,Recently Renovated,507000,0,00000,34,1450,360,0,1,0,0,1,0,1810,47.6258,1740,-122.038,8158,9532,2.25,3,1,0,1,8,507000,1,0,0
30,Excellent,Medium,0,Recently Renovated,550000,0,00000,34,1590,530,0,1,0,0,1,0,2120,47.6279,2120,-122.037,18255,12997,2.25,3,1,0,1,8,550000,1,0,0
30,Excellent,Medium,0,Recently Renovated,246000,0,00000,35,1130,310,0,1,0,0,1,0,1440,47.318,1510,-122.391,10500,8125,2.25,3,1,0,1,8,246000,1,0,0
30,Excellent,Medium,0,Recently Renovated,558000,0,00000,36,1280,940,0,1,0,0,1,0,2220,47.6212,2020,-122.043,15757,14098,2.25,3,1,0,1,8,558000,1,0,0
30,Excellent,Medium,0,Recently Renovated,292000,0,00000,37,1280,500,0,1,0,0,1,0,1780,47.4762,1710,-122.156,9720,9790,2.25,3,1,0,1,8,292000,1,0,0
30,Excellent,Medium,0,Recently Renovated,475000,0,00000,37,1240,580,0,1,0,0,1,0,1820,47.7206,2030,-122.11,8008,8750,2.25,3,1,0,1,8,475000,1,0,0
30,Excellent,Medium,0,Recently Renovated,403000,0,00000,38,1390,450,0,1,0,0,1,0,1840,47.6923,2210,-122.095,13020,13020,2.25,3,1,0,1,8,403000,1,0,0
30,Excellent,Large,0,Recently Renovated,298700,0,00000,38,1530,580,0,1,0,0,1,0,2110,47.3088,2640,-122.341,7350,7777,2.25,3,1,0,1,8,298700,1,0,0
30,Excellent,Medium,0,Recently Renovated,300000,0,00000,39,1690,380,0,1,0,0,1,0,2070,47.3551,2070,-122.148,7225,7400,2.25,3,1,0,1,8,300000,1,0,0
30,Excellent,Medium,0,Recently Renovated,285000,0,00000,39,1370,470,0,1,0,0,1,0,1840,47.3144,1870,-122.339,9040,8992,2.25,3,1,0,1,8,285000,1,0,0
30,Excellent,Medium,0,Recently Renovated,460000,0,00000,39,1590,490,0,1,0,0,1,0,2080,47.7506,2270,-122.063,50965,51836,2.25,3,1,0,1,8,460000,1,0,0
30,Excellent,Medium,0,Recently Renovated,219000,0,00000,39,1440,500,0,1,0,0,1,0,1940,47.3565,1880,-122.149,6500,8991,2.25,3,1,0,1,8,219000,1,0,0
30,Excellent,Medium,0,Recently Renovated,445000,0,00000,39,1270,530,0,1,0,0,1,0,1800,47.7072,1940,-122.164,11200,11250,2.25,3,1,0,1,8,445000,1,0,0
40,Excellent,Medium,0,Recently Renovated,493000,0,00000,40,1790,0,0,1,0,0,1,0,1790,47.6297,2290,-122.099,11393,11894,2.25,3,1,0,1,8,493000,1,0,0
40,Excellent,Medium,0,Recently Renovated,473000,0,00000,40,1890,0,0,1,0,0,1,0,1890,47.6232,2390,-122.047,12236,12323,2.25,3,1,0,1,8,473000,1,0,0
40,Excellent,Large,0,Recently Renovated,510000,0,00000,40,1930,440,0,1,0,0,1,0,2370,47.771,2900,-122.099,38639,37452,2.25,3,1,0,1,8,510000,1,0,0
40,Excellent,Medium,0,Recently Renovated,257000,0,00000,40,1180,550,0,1,0,0,1,0,1730,47.3823,1870,-122.166,9516,8165,2.25,3,1,0,1,8,257000,1,0,0
40,Excellent,Medium,0,Recently Renovated,283000,0,00000,40,1270,860,0,1,0,0,1,0,2130,47.383,1960,-122.168,8800,8075,2.25,3,1,0,1,8,283000,1,0,0
40,Excellent,Medium,0,Recently Renovated,267000,0,00000,40,1610,900,0,1,0,0,1,0,2510,47.2988,1940,-122.374,9900,8510,2.25,3,1,0,1,8,267000,1,0,0
40,Excellent,Medium,0,Recently Renovated,599950,0,00000,40,1570,1110,0,1,0,0,1,0,2680,47.5683,2480,-122.091,9162,8261,2.25,3,1,0,1,8,599990,1,0,0
40,Excellent,Medium,0,Recently Renovated,425000,0,00000,41,1520,370,0,1,0,0,1,0,1890,47.7103,1830,-122.232,8400,7980,2.25,3,1,0,1,8,425000,1,0,0
40,Excellent,Medium,0,Recently Renovated,480000,0,00000,41,1220,600,0,1,0,0,1,0,1820,47.5898,2050,-122.052,13362,15000,2.25,3,1,0,1,8,480000,1,0,0
40,Excellent,Medium,0,Recently Renovated,515000,0,00000,41,1220,600,0,1,0,0,1,0,1820,47.5898,2050,-122.052,13362,15000,2.25,3,1,0,1,8,515000,1,0,0
40,Excellent,Medium,0,Recently Renovated,469000,0,00000,41,1440,630,0,1,0,0,1,0,2070,47.7766,2070,-122.277,9957,10158,2.25,3,1,0,1,8,469000,1,0,0
40,Excellent,Medium,0,Recently Renovated,458000,0,00000,41,1450,700,0,1,0,0,1,0,2150,47.6647,2170,-122.149,9900,9500,2.25,3,1,0,1,8,458000,1,0,0
40,Excellent,Medium,0,Recently Renovated,460000,0,00000,41,1390,960,0,1,0,0,1,0,2350,47.7433,2250,-122.259,10450,10450,2.25,3,1,0,1,8,460000,1,0,0
40,Excellent,Medium,0,Recently Renovated,430000,0,00000,42,1400,430,0,1,0,0,1,0,1830,47.7412,1830,-122.088,19965,17250,2.25,3,1,0,1,8,430000,1,0,0
40,Excellent,Large,0,Recently Renovated,482950,0,00000,42,1370,760,0,1,0,0,1,0,2130,47.7462,2820,-122.29,8801,8801,2.25,3,1,0,1,8,482975,1,0,0
40,Excellent,Medium,0,Recently Renovated,459900,0,00000,42,1460,790,0,1,0,0,1,0,2250,47.7229,1930,-122.202,8000,9000,2.25,3,1,0,1,8,459900,1,0,0
40,Excellent,Medium,0,Recently Renovated,535900,0,00000,43,1480,400,0,1,0,0,1,0,1880,47.5937,2120,-122.116,10880,10240,2.25,3,1,0,1,8,535900,1,0,0
40,Excellent,Medium,0,Recently Renovated,570000,0,00000,43,1330,680,0,1,0,0,1,0,2010,47.6912,2080,-122.115,6000,8260,2.25,3,1,0,1,8,570000,1,0,0
40,Excellent,Large,0,Recently Renovated,524000,0,00000,44,2430,0,0,1,0,0,1,0,2430,47.4749,2800,-122.092,73151,39250,2.25,3,1,0,1,8,524000,1,0,0
40,Excellent,Medium,0,Recently Renovated,535100,0,00000,45,1720,350,0,1,0,0,1,0,2070,47.7735,2350,-122.371,7207,7980,2.25,3,1,0,1,8,535100,1,0,0
40,Excellent,Medium,0,Recently Renovated,440000,0,00000,48,1220,680,0,1,0,0,1,0,1900,47.6394,1900,-122.113,7225,7399,2.25,3,1,0,1,8,440000,1,0,0
50,Excellent,Medium,0,Recently Renovated,245700,0,00000,50,1180,460,0,1,0,0,1,0,1640,47.3733,1600,-122.289,8400,8120,2.25,3,1,0,1,8,245700,1,0,0
50,Excellent,Large,0,Recently Renovated,825000,0,00000,50,1810,700,0,1,0,0,1,0,2510,47.7003,2510,-122.285,10418,9435,2.25,3,1,0,1,8,825000,1,0,0
50,Excellent,Medium,0,Recently Renovated,325000,0,00000,52,1890,0,0,1,0,0,1,0,1890,47.4838,1580,-122.299,9646,9488,2.25,3,1,0,1,8,325000,1,0,0
50,Excellent,Medium,0,Recently Renovated,370000,0,00000,52,1270,500,0,1,0,0,1,0,1770,47.7724,2180,-122.362,7667,8103,2.25,3,1,0,1,8,370000,1,0,0
50,Excellent,Medium,0,Recently Renovated,520000,0,00000,52,1270,500,0,1,0,0,1,0,1770,47.7724,2180,-122.362,7667,8103,2.25,3,1,0,1,8,520000,1,0,0
